区,区分,人口,年少人口,0～ 4歳,5～ 9,10～14,生産年齢  人    口,15～19歳,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,老年人口,65～69歳,70～74,75～79,80～84,85～89,90～94,95～99,100歳  以上
北区,新琴似４条１５丁目,434,130,45,63,22,231,11,17,10,29,61,36,29,14,13,11,73,17,12,23,10,7,3,1,-
北区,新琴似４条１６丁目,185,23,6,8,9,100,6,6,2,7,18,16,17,8,9,11,62,8,25,16,7,5,1,-,-
北区,新琴似４条１７丁目,99,2,-,1,1,67,7,6,3,2,3,3,14,10,7,12,30,10,11,3,2,3,1,-,-
北区,新琴似５条１丁目,359,28,16,6,6,256,7,20,30,37,32,28,27,22,31,22,75,19,14,13,9,17,3,-,-
北区,新琴似５条２丁目,1249,118,34,37,47,761,66,50,24,40,54,68,117,98,119,125,370,92,104,66,51,30,23,2,2
北区,新琴似５条３丁目,163,31,11,8,12,106,13,9,6,5,10,17,14,15,8,9,26,4,12,5,3,-,2,-,-
北区,新琴似５条４丁目,198,36,12,12,12,116,9,7,4,9,19,16,17,9,13,13,46,13,18,8,4,1,1,1,-
北区,新琴似５条５丁目,262,28,4,9,15,162,26,4,5,11,9,26,31,13,12,25,72,17,21,15,10,5,3,-,1
北区,新琴似５条６丁目,157,18,4,4,10,89,9,3,4,12,11,16,9,9,10,6,50,9,7,16,11,5,1,1,-
北区,新琴似５条７丁目,213,29,5,12,12,110,8,4,6,12,14,11,19,9,7,20,74,22,19,16,11,2,3,1,-
北区,新琴似５条８丁目,303,36,10,18,8,171,12,7,8,25,21,17,16,25,19,21,96,18,24,22,12,16,3,1,-
北区,新琴似５条９丁目,265,30,7,11,12,142,13,10,7,11,17,20,21,10,17,16,93,20,25,19,9,12,6,2,-
北区,新琴似５条１０丁目,170,17,7,7,3,86,5,8,11,10,5,6,20,3,7,11,67,16,18,10,7,11,3,2,-
北区,新琴似５条１１丁目,153,13,4,6,3,85,3,3,8,8,4,4,6,7,21,21,55,18,19,8,2,2,6,-,-
北区,新琴似５条１２丁目,352,41,10,14,17,198,15,18,16,10,16,21,26,22,32,22,113,26,32,21,17,13,4,-,-
北区,新琴似５条１３丁目,299,30,9,7,14,177,17,12,12,10,14,16,27,21,26,22,92,19,28,13,19,4,7,2,-
北区,新琴似５条１４丁目,308,36,7,11,18,145,9,10,8,8,26,23,17,17,17,10,127,28,34,29,14,13,8,-,1
北区,新琴似５条１５丁目,320,37,15,12,10,158,8,19,8,11,17,15,23,21,22,14,125,36,34,23,12,13,5,2,-
